session,480_1
rel_ts_us,len
0,1292
60,1292
147,120
444,984
82100,-1292
82100,-1292
82100,-102
82487,120
82617,73
86530,-69
86530,-431
86530,-1288
86530,-1292
86530,-1094
86805,77
86853,73
113759,74
132833,-158
132833,-67
159534,74
168112,158
233655,-157
233980,75
235197,-69
235197,-140
235417,75
235490,79
236295,-1288
236295,-1292
236376,75
245023,-1292
245023,-1292
245023,-1292
245023,-1292
245023,-1292
245023,-1292
245023,-1292
245023,-1292
245023,-1292
245023,-1292
245023,-1292
245023,-1292
245339,75
245355,75
245370,75
245376,-1292
245376,-1292
245376,-1292
245376,-1292
245376,-1292
245376,-1292
245376,-1292
245386,75
245407,75
245426,75
245443,75
245458,75
245476,75
245501,75
249849,-1292
249849,-1292
249849,-1292
249849,-1292
249849,-1292
249849,-1292
249849,-1292
249849,-1292
249944,75
249974,75
249991,75
250010,75
254351,-1292
254351,-1292
254351,-1292
254351,-1292
254351,-1292
254351,-1292
254351,-1292
254351,-1292
254351,-1292
254513,75
254549,75
254567,75
254582,75
258397,-1292
258397,-1292
258397,-1292
258397,-1292
258397,-1292
258397,-1292
258397,-1292
258397,-1292
258397,-1292
258510,80
258553,75
258571,75
258586,75
258604,75
261569,-1292
261569,-1292
261569,-1292
261569,-1292
261569,-1292
261569,-1292
261569,-1292
261805,76
261823,76
261838,76
265085,-1292
265085,-1292
265085,-1292
265085,-1292
265085,-1292
265085,-1292
265310,76
265332,76
265347,76
269131,-1292
269131,-1292
269312,74
274891,-1292
275043,74
276908,-1292
276908,-1292
276908,-1292
276908,-1292
276908,-1292
276908,-1292
277010,75
277051,75
277070,75
282898,-1292
282898,-1292
282898,-1292
282898,-1292
282898,-1292
282898,-1292
282898,-1292
282898,-1292
282898,-1292
282898,-1292
283135,75
283156,75
283174,75
283193,75
283213,80
286435,-1292
286435,-1292
286435,-1292
286435,-1292
286435,-1292
286435,-337
286435,-145
286525,75
286558,75
286577,75
289951,139
314308,-67
341042,-1292
341042,-68
341402,76
341515,76
385537,-70
385537,-141
385537,-1288
385537,-1292
385537,-1286
385537,-1287
385537,-1292
385893,76
385978,80
391549,-1292
391549,-1292
391549,-1292
391549,-1292
391549,-1292
391549,-1292
391792,76
397197,-1292
397197,-1292
397197,-1292
397197,-1292
397197,-1292
397197,-1292
397197,-1292
397197,-1292
397197,-1292
397197,-1292
397197,-1292
397197,-1292
397370,76
401367,-1292
401367,-1292
401901,-1292
401901,-1292
409053,-1292
409053,-1292
409053,-1292
409053,-1292
409053,-1292
409053,-1292
409053,-1292
409053,-1292
409053,-1292
409053,-1292
409053,-1292
409053,-1292
409053,-1292
409053,-1292
409053,-1292
409053,-1292
409466,76
409570,76
409606,-1292
409606,-1292
409606,-1292
409606,-1292
409606,-1292
409606,-1292
409606,-1292
409606,-1292
409707,76
419328,-1292
419328,-1292
419328,-1292
419328,-1292
419328,-1292
419328,-1292
419328,-1292
419328,-1292
419328,-1292
419328,-1292
419328,-1292
419328,-1292
419328,-1292
419328,-1292
419609,76
419700,77
421460,-1292
421460,-1292
421460,-1292
421460,-1292
443111,76
447426,-1292
447426,-1292
447426,-1292
447426,-1292
450752,-1292
450752,-1292
450752,-1292
450752,-1292
450752,-1292
450752,-1292
451111,75
460849,-1292
460849,-409
473170,76
842364,131
875686,-71
877698,-142
877698,-1288
877698,-1292
877698,-1285
877698,-1287
877698,-1292
877698,-1292
877698,-488
877698,-1287
877698,-1292
877698,-1292
877698,-488
877698,-1287
877698,-1292
877698,-1292
877698,-488
878057,78
884447,-1292
884447,-1292
884447,-1292
884447,-1292
884447,-1292
884447,-1292
884447,-1292
884447,-1292
884447,-1292
884447,-1292
884447,-1292
884447,-1292
884447,-1292
884447,-1292
884447,-1292
884447,-1292
884762,74
884828,74
887566,-1292
887566,-1292
887566,-1292
887566,-1292
887566,-1292
887566,-1292
887566,-1292
887566,-1292
887566,-1292
887566,-1292
887566,-1292
887566,-1292
887566,-1292
887566,-1292
887566,-1292
887566,-1292
887566,-1292
887566,-1292
887740,74
887790,74
889600,-1292
889600,-1292
889600,-1292
889600,-1292
890135,-1292
890135,-1292
890135,-1292
893238,-1292
893238,-1292
893238,-1292
893238,-1292
893238,-1292
893238,-1292
893238,-1292
893238,-1292
893238,-1292
893370,74
894065,-1292
894065,-1292
894065,-1292
894065,-1292
894065,-1292
894065,-1292
894065,-1292
894065,-1292
894065,-1292
894065,-1292
894065,-1292
894065,-1292
894065,-1292
894065,-1292
894065,-1292
894065,-1292
894413,75
894472,75
902842,76
912733,-1292
912733,-1292
912733,-1292
912733,-1292
912733,-1292
912733,-1292
912733,-1292
912733,-1292
912733,-1292
912733,-1292
912733,-1292
912733,-1292
912733,-1292
912733,-1292
912733,-1292
912733,-1292
913107,-1292
913109,75
913410,-1292
920778,-1292
920778,-1292
920778,-1292
920778,-1292
920778,-1292
920778,-1292
921111,75
922738,-1292
922738,-1292
922738,-1292
922738,-1292
922738,-1292
922738,-1292
922738,-1292
922738,-1292
922738,-1292
922738,-1255
923254,75
932145,76
969445,198
1009051,-71
1009051,-166
1009051,-1288
1009051,-1292
1009051,-1285
1009051,-1287
1009051,-1292
1009051,-1292
1009051,-488
1009051,-1287
1009051,-1292
1009051,-1292
1009051,-488
1009051,-1287
1009051,-1292
1009051,-1292
1009051,-488
1009051,-1287
1009051,-1292
1009580,78
1023795,75
1041511,-1292
1041511,-1292
1041511,-1292
1041511,-1292
1041511,-1292
1041511,-1292
1041511,-1292
1041511,-1292
1041511,-1292
1041511,-1292
1041511,-1292
1041511,-1292
1041511,-1292
1041511,-1292
1041511,-1292
1041511,-1292
1041511,-1292
1041511,-1292
1041865,74
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1043935,-1292
1044155,-1292
1044155,-1292
1044155,-1292
1044155,-1292
1044155,-1292
1044155,-1292
1044155,-1292
1044155,-1292
1044155,-1292
1044155,-1292
1044155,-1292
1044155,-1292
1044155,-1292
1044155,-1292
1044155,-1292
1044202,74
1044268,74
1044310,74
1044357,74
1044631,75
1046068,-1292
1046068,-1292
1046068,-1292
1046068,-1292
1046068,-1292
1046068,-1292
1046068,-1292
1046068,-1292
1046068,-1292
1046068,-1292
1046068,-1292
1046068,-1292
1046068,-1292
1046068,-1292
1046068,-1292
1046068,-1292
1046068,-1292
1046262,75
1046323,75
1046606,-1292
1046606,-132
1054668,76
1060597,131
1091787,-71
1092314,-142
1092314,-1288
1092314,-1292
1092314,-1285
1092314,-1287
1092314,-1292
1092314,-1292
1092314,-488
1094101,-1287
1094101,-1292
1094101,-1292
1094101,-488
1094101,-1287
1094101,-1292
1094101,-1292
1094101,-488
1094101,-1287
1094101,-1292
1094101,-1292
1094101,-494
1094445,78
1094508,74
1102382,-1292
1102382,-1292
1102382,-1292
1102382,-1292
1102382,-1292
1102382,-1292
1102382,-1292
1102382,-1292
1102737,75
1111215,75
1113948,-1292
1113948,-1292
1113948,-1292
1113948,-1292
1113948,-1292
1113948,-1292
1113948,-1292
1113948,-1292
1113948,-1292
1113948,-1292
1113948,-1292
1113948,-1292
1113948,-1292
1113948,-1292
1113948,-1292
1113948,-1292
1113948,-1292
1114162,74
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116203,-1292
1116391,-1292
1116391,-1292
1116391,-1292
1116502,74
1116555,74
1116609,75
1116647,75
1116685,-1292
1116685,-1292
1116685,-1292
1116685,-1292
1119251,-1292
1119251,-1292
1119251,-1292
1119251,-1292
1119251,-1292
1119251,-1292
1119251,-1292
1119251,-1292
1119251,-1292
1119251,-1292
1119251,-1292
1119251,-1292
1119251,-1292
1119251,-1292
1119251,-1292
1119251,-1292
1119251,-1292
1119251,-1292
1119251,-1292
1119430,75
1119494,75
1119881,-1292
1119881,-1292
1119881,-1292
1119881,-1292
1119881,-1292
1119881,-1292
1119881,-1292
1119881,-1292
1119881,-1292
1119881,-1292
1119881,-1292
1119881,-1292
1119881,-1292
1119881,-564
1120000,75
1128749,76
1156932,-68
5689568,131
5744246,-71
5744246,-167
5744246,-1288
5744246,-1292
5744246,-1285
5744246,-1287
5744246,-1292
5744246,-1292
5744246,-488
5744246,-1287
5744246,-1292
5744246,-1292
5744246,-488
5744246,-1287
5744246,-1292
5744246,-1292
5744246,-488
5744246,-1287
5744246,-1292
5744246,-1292
5744246,-494
5744622,78
5744697,74
5766035,75
5775520,-1292
5775520,-1292
5775520,-1292
5775520,-1292
5775520,-1292
5775520,-1292
5775520,-1292
5775520,-1292
5775520,-1292
5775520,-1292
5775809,74
5779082,-1292
5779082,-1292
5779082,-1292
5779082,-1292
5779082,-1292
5779082,-1292
5779082,-1292
5779082,-1292
5779082,-1292
5779082,-1292
5779082,-1292
5779082,-1292
5779082,-1292
5779082,-1292
5779286,74
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5781978,-1292
5782180,74
5782237,74
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787245,-1292
5787502,74
5787569,75
5787605,75
5791931,-1292
5791931,-1292
5791931,-1292
5791931,-1292
5791931,-1292
5791931,-1292
5791931,-1292
5791931,-1292
5791931,-1292
5791931,-1292
5791931,-1292
5791931,-1292
5791931,-1292
5791931,-1292
5791931,-1292
5792109,75
5792170,75
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795284,-1292
5795458,-1292
5795458,-1292
5795458,-1292
5795458,-1292
5795458,-1292
5795541,75
5795598,75
5795632,75
5797811,-1292
5797811,-1292
5797811,-1292
5797811,-1292
5797811,-499
5797930,75
5808022,76
5809039,-147
5821699,76
6100831,131
6131980,-71
6142783,75
6142917,-167
6142917,-1288
6147383,-1292
6148349,-1285
6148349,-1287
6148349,-1292
6148349,-1292
6148349,-488
6148349,-1287
6148349,-1292
6148349,-1292
6148349,-488
6148349,-1287
6148349,-1292
6148349,-1292
6148349,-488
6148349,-1287
6148349,-1292
6148349,-1292
6148349,-494
