session,480_451
rel_ts_us,len
0,66
1428,-66
1469,54
1817,1988
3197,-60
3702,-279
4651,118
5113,461
6042,-60
6123,-233
13473,-416
13495,54
622563,1230
672348,-60
852434,-1494
852434,-1494
852434,-1494
852434,-1494
852475,54
852496,-1494
852496,-1494
852496,-1494
852496,-1494
852496,-1494
852496,-1494
852496,-1494
852496,-620
852519,54
852543,-477
853221,-1494
853247,54
853266,-1494
853266,-1494
853266,-1494
853266,-1494
853266,-1494
853266,-1494
853266,-1494
853266,-1494
853266,-1494
853266,-1494
853266,-620
853302,54
853331,-1494
853341,54
853346,-1494
853346,-1494
853352,54
853879,-1494
853879,-1494
853879,-1494
853879,-1494
853879,-1494
853879,-1494
853903,54
853918,-1494
853918,-1494
853918,-1494
853918,-1494
853918,-1494
853918,-1494
853918,-1494
853918,-1494
853918,-1494
853918,-1494
853918,-1494
853918,-1494
853918,-1494
853918,-1494
853953,54
854091,-1494
854091,-1494
854102,54
854682,-1494
854682,-1494
854696,54
854745,-1494
854745,-1494
854745,-1494
854745,-1494
854745,-1494
854745,-1494
854745,-1494
854745,-1494
854745,-1494
854745,-1494
854745,-1494
854745,-1494
854745,-1494
854745,-1494
854745,-1494
854745,-1494
854745,-1494
854745,-1494
854745,-534
854799,54
854916,-1494
854916,-1014
854934,54
854939,-1494
854939,-534
854944,54
855379,-1494
855379,-1494
855379,-1494
855379,-1494
855379,-1494
855379,-1494
855379,-1494
855379,-1494
855379,-1494
855379,-1494
855379,-1494
855379,-1494
855379,-1494
855379,-1494
855379,-1494
855379,-1494
855379,-1494
855379,-1494
855379,-1494
855379,-1494
855379,-1014
855437,54
855477,-1494
855477,-1494
855477,-1494
855477,-1494
855477,-1494
855493,54
855532,-1494
855532,-1494
855532,-1494
855532,-1494
855532,-1494
855532,-1494
855532,-1494
855532,-1494
855532,-1494
855532,-1494
855532,-1494
855532,-1494
855532,-1494
855532,-1494
855532,-1494
855532,-1494
855532,-1494
855577,54
855805,-1494
855805,-1494
855805,-1494
855805,-1494
855805,-1494
855805,-1494
855805,-1494
855805,-1494
855805,-1494
855805,-1494
855838,54
856218,-1494
856218,-1494
856218,-1494
856218,-1494
856218,-1494
856218,-1494
856218,-1494
856218,-1494
856218,-1494
856218,-1494
856218,-1494
856218,-1494
856269,54
856276,-1494
856276,-1494
