session,720_501
rel_ts_us,len
0,1292
81,1292
210,117
433,984
36224,-1292
36224,-1292
36224,-108
36224,-69
36638,120
36728,73
55384,-432
55384,-1288
55384,-1292
55384,-121
55711,77
55844,73
66384,-1292
66634,159
67259,-157
67420,75
86135,-67
95868,-69
138565,157
168655,-73
168655,-141
169019,77
169758,-1288
169758,-1292
169758,-1283
169758,-1287
169758,-1292
169758,-1292
169758,-484
169758,-1287
169758,-1292
170445,73
170489,73
170509,73
170528,73
172628,-1292
172763,73
181622,-1292
181622,-1292
181622,-1292
181790,73
185608,-1292
185608,-1292
185832,73
192584,-1292
192776,73
200769,-1292
201876,-1292
201876,-1292
202131,73
208616,-1292
208616,-1292
208616,-1292
208616,-1292
208737,73
208800,73
210609,-1292
210609,-1292
210667,73
213661,-1292
213661,-1292
213749,73
214612,-1292
214612,-1292
214714,73
221776,-1292
221776,-1292
221776,-1292
221776,-1292
221776,-1292
221776,-1292
221957,73
222083,73
222131,73
226360,-1292
226360,-1292
226360,-1292
226360,-1292
226514,73
226574,73
230665,-1292
230665,-1292
230793,78
232606,-1292
232721,73
233680,-1292
237753,-1292
237753,-1292
237864,73
239864,-1292
239864,-1292
239864,-1292
239864,-1292
239996,74
240041,74
242609,-1292
242609,-1292
242609,-1292
242609,-1292
242706,74
242752,74
250609,-1292
250609,-1292
250609,-1292
250609,-1292
250767,74
250832,74
252399,-1292
252399,-1292
252399,-1292
252399,-1292
252518,74
252577,74
256469,-1292
256469,-1292
256627,74
259615,-1292
259763,74
261063,-1292
261063,-1292
261063,-1292
261063,-1292
261063,-1292
261063,-1292
261063,-1292
261063,-1292
261063,-1292
261230,74
261281,74
261301,74
261318,74
261845,-1292
261845,-1292
261845,-1292
261845,-1292
261981,74
262067,74
266222,-1292
266222,-1292
266222,-1292
266222,-1292
266350,74
266397,79
266944,-1292
266944,-1292
266944,-1292
266944,-1292
267034,74
267064,74
269831,-1292
269831,-1292
269831,-1292
269831,-1292
273336,-1292
273336,-1292
273336,-1292
273336,-1292
277089,-1292
277089,-1292
277089,-1292
277089,-1292
277089,-1292
277089,-1292
277089,-1292
277089,-1292
277270,74
281808,-1292
281808,-1292
281808,-1292
281808,-1292
281956,75
286123,-1292
286123,-1292
286123,-1292
286123,-1292
288928,-1292
288928,-1292
288928,-1292
288928,-1292
288928,-1292
288928,-1292
288928,-1292
288928,-1292
289077,75
290990,-1292
290990,-1292
290990,-1292
290990,-1292
290990,-1292
290990,-1292
295334,-1292
295334,-1292
295334,-1292
295334,-1292
295334,-1292
295334,-1292
295494,75
296907,-1292
296907,-1292
296907,-1292
296907,-1292
296907,-1292
296907,-1292
296907,-1292
296907,-1292
296907,-1292
296907,-1292
296907,-1292
296907,-1292
296907,-1292
296907,-1292
297060,75
300783,-1292
300783,-1292
300783,-1292
300783,-1292
300783,-1292
300783,-1292
300783,-1292
300783,-1292
300920,74
300963,-1292
300963,-1292
300963,-1292
300963,-1292
301064,75
307051,-1292
307051,-1292
307051,-1292
307051,-1292
309664,-1292
309664,-1292
309664,-1292
309664,-1292
309664,-1292
309664,-1292
309664,-1292
309664,-1292
309664,-1292
309664,-1292
309917,75
310872,-1292
310872,-1292
310976,75
311074,-1292
311074,-1292
311074,-1292
311074,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319050,-1292
319506,75
319643,75
319718,75
322521,-1292
322521,-1292
322521,-1292
322521,-1292
322521,-1292
322521,-1292
322521,-1292
322521,-1292
322521,-1292
322521,-1292
322521,-1292
322521,-1292
322521,-1292
322521,-1292
322736,75
324759,-1292
324759,-1292
324759,-1292
324759,-1292
324759,-1292
324759,-1292
324919,75
325868,-1292
325868,-1292
325868,-1292
325868,-1292
325868,-1292
325868,-1292
326100,75
330983,-1292
330983,-1277
330983,-147
333437,76
334261,130
364545,-71
364545,-143
364545,-1288
364545,-1292
365280,-1284
365280,-1287
365280,-1292
365280,-1292
365280,-488
365280,-1287
365280,-1292
365280,-1292
365280,-488
365280,-1287
365280,-1292
365280,-1292
365280,-488
365280,-1287
365280,-1292
365280,-1292
365280,-494
365280,-1285
365280,-1292
369847,78
370030,74
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371083,-1292
371845,74
371968,74
372018,74
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373535,-1292
373829,-1292
373829,-1292
373829,-1292
373829,-1292
373829,-1292
373829,-1292
373829,-1292
373829,-1292
373829,-1292
373829,-1292
373829,-1292
373829,-1292
373829,-1292
373829,-1292
374056,74
374178,75
374237,75
376271,75
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384024,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384288,76
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384267,-1292
384469,-1292
384469,-1292
384469,-1292
384469,-1292
384469,-1292
384469,-1292
384469,-1292
384469,-1292
384589,75
384755,75
384843,75
385414,75
385496,75
385546,75
385859,75
393299,76
394288,-1292
394288,-1292
394288,-1292
394288,-1292
394288,-1292
394288,-1292
394288,-1292
394288,-1292
394288,-1292
394288,-1292
394288,-1292
394288,-1292
394288,-1292
394288,-1292
394288,-1292
394288,-1292
394677,75
409729,76
410265,-1292
410265,-1292
410265,-1292
410265,-1292
410265,-1292
410265,-1024
425390,81
481780,-68
1087673,198
1118122,-71
1119099,-168
1119099,-1288
1119099,-1292
1119099,-1284
1119099,-1287
1119099,-1292
1119099,-1292
1119099,-488
1119099,-1287
1119099,-1292
1119099,-1292
1119099,-488
1119099,-1287
1119099,-1292
1119099,-1292
1119099,-488
1119368,78
1120132,-1287
1120132,-1292
1120132,-1292
1120132,-494
1120132,-1285
1120132,-1292
1120437,74
1129571,75
1133325,-1292
1133325,-1292
1133325,-1292
1133325,-1292
1133325,-1292
1133325,-1292
1133325,-1292
1133325,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134144,-1292
1134347,-1292
1134347,-1292
1134347,-1292
1134347,-1292
1134347,-1292
1134398,-1292
1134398,-1292
1134398,-1292
1134398,-1292
1134398,-1292
1134398,-1292
1134398,-1292
1134398,-1292
1134496,74
1134754,74
1134900,74
1135023,75
1135725,75
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138650,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1138904,-1292
1139067,75
1139138,-1292
1139138,-1292
1139138,-1292
1139138,-1292
1139138,-1292
1139138,-1292
1139138,-1292
1139138,-1292
1139138,-1292
1139138,-1292
1139138,-1292
1139138,-1292
1139138,-1292
1139138,-1292
1139138,-1292
1139138,-1292
1139214,75
1139321,75
1139372,-1292
1139372,-1292
1139372,-1292
1139372,-1292
1139372,-1292
1139372,-1292
1139372,-1292
1139372,-1292
1139372,-1292
1139372,-1292
1139372,-1292
1139372,-1292
1139372,-1292
1139372,-1292
1139372,-1292
1139559,-1292
1139559,-1292
1139559,-1292
1139559,-1292
1139559,-1292
1139559,-1292
1139559,-1292
1139559,-1292
1139559,-1292
1139559,-1292
1139559,-1292
1140147,75
1140267,75
1140386,75
1141487,75
1141728,75
1141978,75
1142060,-1292
1142060,-1292
1142060,-1292
1142060,-1292
1142060,-1292
1142060,-1292
1142141,75
1143038,75
1151805,-1292
1151805,-1292
1151805,-1292
1151805,-1292
1151805,-1292
1151805,-1292
1151805,-1292
1151805,-1292
1151805,-1292
1151805,-1292
1151805,-1292
1151805,-1292
1151805,-1292
1152094,75
1152196,80
1157265,-1292
1157265,-1292
1157265,-1292
1164599,-1292
1164599,-1292
1164599,-1292
1164599,-1292
1164599,-1292
1164599,-1292
1164599,-1292
1164599,-1292
1164599,-1292
1164599,-1292
1164599,-1292
1164599,-1292
1164599,-1292
1164599,-1292
1164599,-1292
1164599,-1292
1164988,75
1165180,75
1166629,-1292
1166629,-1292
1166629,-1292
1166629,-1292
1166629,-1292
1166629,-1292
1166629,-1292
1166629,-1292
1166936,75
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-1292
1173031,-581
1173570,75
1173734,75
1173856,75
1183859,76
1186226,132
1193740,-68
1220427,-71
1220427,-144
1220427,-1288
1220427,-1292
1220427,-1283
1220427,-1287
1220427,-1292
1220427,-1292
1220427,-488
1220427,-1287
1220427,-1292
1220427,-1292
1220427,-488
1220427,-1287
1220427,-1292
1220427,-1292
1220427,-488
1220427,-1287
1220427,-1292
1220427,-1292
1220427,-494
1220427,-1285
1220427,-1292
1220427,-1292
1220427,-498
1220427,-1285
1220427,-1292
1220427,-1292
1220427,-498
1220427,-1285
1220427,-1292
1220427,-1292
1220702,-498
