session,720_51
rel_ts_us,len
0,1292
96,1292
247,124
540,984
693,624
35041,-1292
35041,-1292
35041,-108
35376,-70
35376,-70
35582,120
35664,73
35703,73
69721,-158
96675,74
110742,-431
110742,-1266
110921,77
143705,-68
183186,-134
183186,-1073
183466,77
244560,-67
337180,196
337451,124
370401,-70
370401,-70
370784,73
371476,-160
371476,-1078
371476,-134
371476,-885
371680,77
371730,77
403392,-66
525973,128
526560,128
560396,-70
560396,-70
560939,73
561491,-141
561491,-1288
561491,-1292
561491,-1287
561491,-1287
561491,-1292
561491,-1292
561491,-488
561491,-1287
561491,-1292
561491,-1292
561491,-488
561491,-1287
561491,-1292
561491,-1292
561491,-488
561491,-1287
561491,-1292
561691,77
561724,73
561742,73
561761,73
561777,73
561795,73
561813,73
561831,73
561850,73
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581728,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
581925,-1292
582105,73
582143,73
582160,73
582175,73
582190,73
582205,73
582226,73
582244,73
582261,73
582279,73
582295,73
582315,79
582337,74
582355,74
582372,74
582399,74
582473,74
582491,74
582508,74
582527,74
582543,74
582561,75
582577,75
582595,75
582612,75
582629,75
582646,75
582663,75
582697,75
582715,75
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
582926,-1292
583080,-1292
583080,-1292
583080,-1292
583080,-1292
583080,-1292
583080,-1292
583080,-1292
583080,-1292
583167,75
583281,80
583318,75
583347,75
583432,-1292
583432,-1292
583432,-1292
583432,-1292
583432,-1292
583432,-1292
583432,-1292
583432,-1292
583432,-1292
583432,-1292
583432,-1292
583432,-1292
583432,-1292
583432,-1292
583432,-389
583432,-1292
583516,75
583573,75
583687,-1292
583687,-1292
583687,-1292
583687,-1292
583687,-1292
583687,-1292
583687,-1292
583687,-1292
583687,-1292
583687,-1292
583687,-1292
583687,-1292
583687,-1292
583687,-1292
583687,-1292
583687,-1292
583687,-1292
583687,-1292
583687,-1292
583687,-1292
584003,79
584055,75
584260,-1292
584260,-1292
584260,-1292
584260,-1292
584260,-1292
584260,-1292
584260,-1292
584260,-1292
584260,-1292
584260,-1292
584260,-1292
584515,75
587191,138
587362,-1292
587362,-1292
587362,-1292
587362,-1292
587362,-1292
587362,-1292
587362,-1292
587362,-1292
587362,-1292
587362,-1292
587362,-1292
587362,-1292
587362,-444
587530,75
591443,137
593363,-145
602482,76
614342,-66
617206,-67
620272,-71
621073,-143
621073,-1288
621073,-1292
621323,-1285
621323,-1287
621323,-1292
621323,-1292
621323,-488
621323,-1287
621323,-1292
621588,78
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624413,-1292
624625,74
624686,74
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629402,-1292
629592,-1292
629592,-1292
629592,-1292
629592,-1292
629592,-1292
629592,-1292
629592,-1292
629592,-1292
629592,-1292
629664,74
629715,74
629749,74
633642,-1292
633642,-1292
633642,-1292
633642,-1292
633642,-1292
633642,-1292
633642,-1292
633642,-1292
633642,-1292
633642,-1292
633642,-1292
633642,-1292
633642,-1292
633642,-1292
633860,79
633871,-1292
633871,-1292
633871,-1292
633871,-1292
633871,-1292
633871,-1292
633871,-1292
633871,-1292
633871,-1292
633871,-1292
633871,-1292
633871,-1292
634297,75
634368,75
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640220,-1292
640513,75
640563,75
640594,75
642464,-1292
642464,-1292
642464,-1292
642464,-1292
642464,-1292
642464,-1292
642464,-1292
642464,-1292
642464,-1292
642464,-1292
642464,-1292
642464,-1292
642464,-1292
642464,-1292
642464,-1292
642464,-1292
642464,-1067
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642617,-1292
642744,75
642795,75
642836,75
643061,75
643407,-1292
643407,-1292
643407,-1292
643407,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
650896,-1292
651085,-1292
651085,-1292
651085,-1292
651085,-1292
651171,-1292
651171,-1292
651171,-1292
651171,-1292
651171,-1292
651171,-1292
651171,-1292
651171,-1292
651171,-1292
651171,-1292
651171,-1292
651241,75
651261,-1292
651261,-1292
651261,-1292
651261,-1292
651261,-1292
651261,-1292
651261,-1292
651261,-1292
651298,75
651331,75
651363,75
651456,75
651470,-1292
651470,-1292
651470,-1292
651470,-1292
651470,-1292
651470,-1292
651470,-1292
651470,-1292
651494,75
651659,-1292
651659,-1292
651694,75
654425,-1292
654425,-1292
654425,-1292
654425,-1292
654425,-1292
654425,-1292
654425,-1292
654425,-1292
654425,-1292
654425,-1292
654425,-1292
654425,-1292
654425,-1292
654425,-1292
654587,75
665341,76
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666753,-1292
666949,-1292
666949,-1292
666949,-1292
666949,-1292
666949,-1292
666949,-1292
666949,-1292
666949,-1292
666949,-1292
666949,-1292
666949,-882
667152,75
667221,80
667263,75
670549,138
692320,-68
708392,-71
709509,-143
709509,-1288
709509,-1292
709509,-1285
709509,-1287
709509,-1292
709509,-1292
710966,-488
710966,-1287
710966,-1292
710966,-1292
710966,-488
710966,-1287
710966,-1292
710966,-1292
710966,-488
710966,-1287
710966,-1292
710966,-1292
710966,-494
710966,-1285
710966,-1292
710966,-1292
710966,-498
710966,-1285
710966,-1292
710966,-1292
710966,-498
710966,-1285
710966,-1292
710966,-1292
710966,-498
710966,-1285
710966,-1292
710966,-1292
710966,-498
710966,-1285
710966,-1292
710966,-1292
711140,-498
711140,-1285
711140,-1292
711140,-1292
711140,-498
711140,-1285
711140,-1292
711140,-1292
711140,-498
711140,-1285
711140,-1292
711140,-1292
711140,-498
711140,-1285
711140,-1292
711221,78
711277,74
711310,74
711344,74
711436,74
723794,75
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745610,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
745824,-1292
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746011,74
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746000,-1292
746063,75
746098,75
746188,75
746226,75
746262,75
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746261,-1292
746409,75
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746418,-1292
746453,75
746488,75
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746659,-1292
746679,75
746743,75
746781,75
746816,75
746894,75
746933,80
746968,75
747043,75
758282,76
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758363,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-1292
758530,-312
758620,75
758667,75
758700,75
758827,75
758876,75
