session,480_101
rel_ts_us,len
0,1292
50,1292
1326,-82
3080,-1292
3080,-1292
3080,-1292
3080,-1292
3080,-1276
3329,81
3531,81
3615,79
4770,125
4856,-83
4861,111
5361,1288
5391,1288
5403,1064
6136,-572
6136,-158
6636,76
6648,-65
6672,75
6800,-69
6903,75
7569,-627
33605,80
39582,-1288
39640,-1292
39640,-1292
39640,-1292
39640,-1292
39685,-1292
39685,-1292
39685,-1292
39685,-1292
39685,-1292
39685,-1292
39685,-1292
39685,-1292
39685,-1292
39685,-1292
39732,73
39740,-1292
39740,-1292
39740,-1292
39740,-1292
39740,-1292
39740,-1292
39740,-1292
39740,-1292
39740,-1292
39740,-1292
39780,-1292
39780,-1292
39780,-1292
39788,73
39818,73
39847,73
39876,73
39904,73
39934,73
39962,73
39990,73
40018,73
40047,73
40076,73
40105,73
40147,73
43562,-1292
43562,-1292
43562,-1292
43562,-1292
43562,-1292
43562,-1292
43562,-1292
43562,-1292
43562,-1292
43562,-1292
43691,73
43736,73
43769,73
43800,73
43831,73
44065,-1292
44065,-1292
44065,-1292
44065,-1292
44065,-1292
44065,-1292
44065,-1292
44065,-1292
44065,-1292
44065,-1292
44168,78
44215,73
44244,73
44271,73
44300,73
45076,-1292
45076,-1292
45076,-1292
45076,-1292
45076,-1292
45076,-1292
45076,-1292
45076,-1292
45076,-1130
45076,-1285
45136,-1292
45136,-1292
45136,-1292
45136,-1292
45136,-1292
45136,-1292
45136,-1292
45136,-1292
45159,74
45136,-1292
45136,-1292
45197,74
45200,-1292
45200,-1292
45200,-1292
45200,-1292
45200,-1292
45200,-1292
45200,-1292
45200,-1292
45200,-1292
45200,-1292
45228,74
45242,-1292
45242,-1292
45242,-1292
45242,-1292
45242,-1292
45242,-1292
45242,-1292
45242,-1292
45242,-1292
45242,-1292
45255,74
45281,-1292
45284,74
45281,-1292
45281,-1292
45281,-1292
45281,-1292
45281,-1292
45281,-1292
45281,-1292
45281,-1292
45281,-1292
45314,74
45346,74
45362,-1292
45377,75
45404,75
45432,75
45458,75
45486,75
45520,75
45579,-1292
45579,-1292
45579,-1292
45579,-1292
45579,-1292
45579,-1292
45579,-1292
45579,-1292
45579,-1292
45579,-1292
45586,75
45617,75
45615,-1292
45615,-1292
45615,-1292
45615,-1292
45615,-1292
45615,-1292
45615,-1292
45615,-1292
45615,-1292
45615,-1292
45657,80
45664,-1292
45664,-1292
45777,75
45808,75
45832,75
45857,75
45882,75
45907,75
45986,74
46055,75
46513,-1292
46513,-1292
46513,-1292
46513,-1292
46513,-1292
46513,-1292
46513,-1292
46513,-1292
46513,-1292
46513,-1292
46589,75
47999,-1292
47999,-1292
47999,-1292
47999,-1292
47999,-1292
47999,-1292
47999,-1292
47999,-1292
47999,-1292
47999,-1292
48063,-1292
48063,-1292
48063,-1292
48063,-1292
48063,-1292
48063,-1292
48063,-1292
48063,-1292
48063,-1292
48063,-1292
48101,-1292
48101,-1292
48101,-1292
48101,-1292
48101,-1292
48101,-1292
48101,-1292
48122,74
48101,-1292
48101,-1292
48101,-1292
48201,-1292
48201,-1292
48220,74
48294,74
48367,74
48504,-1292
48504,-1292
48504,-1292
48504,-1292
48504,-1292
48504,-1292
48504,-1292
48504,-1292
48504,-1292
48504,-1292
48559,-1292
48559,-1292
48559,-1292
48559,-1292
48559,-1292
48559,-1292
48559,-1292
48559,-1292
48559,-1292
48559,-1292
48642,-1292
48642,-1292
48642,-1292
48642,-1292
48642,-1292
48642,-1292
48642,-1292
48649,74
48642,-1292
48642,-1292
48642,-1292
48678,-1292
48678,-1292
48678,-1292
48678,-1292
48763,74
48860,75
51131,76
51608,-1292
51608,-1292
51608,-1292
51608,-1292
51608,-1292
51608,-1292
51608,-1292
51608,-1292
51608,-1292
51608,-1292
51778,75
52603,-1292
52603,-1292
52603,-1292
52603,-1292
52603,-1292
52603,-1292
52603,-1292
52603,-1292
52603,-1292
52603,-1292
52730,75
53601,-1292
53601,-1292
53601,-1292
53601,-1292
53601,-1292
53601,-1292
53601,-1292
53601,-1292
53601,-1292
53601,-1292
53733,80
54602,-639
54602,-1285
54602,-1292
54602,-1292
54602,-1292
54602,-1292
54602,-1292
54602,-1292
54602,-1292
54602,-1292
54726,75
56111,-1292
56111,-1292
56111,-1292
56111,-1292
56111,-1292
56111,-1292
56111,-1292
56111,-1292
56111,-1292
56111,-1292
56227,75
56618,-1292
56618,-1292
56618,-1292
56618,-1292
56618,-1292
56618,-1292
56618,-1292
56618,-1292
56618,-1292
56618,-1292
56676,-1292
56676,-1292
56676,-1292
56676,-1292
56676,-1292
56676,-1292
56676,-1292
56676,-1292
56676,-1292
56676,-1292
56716,-1292
56716,-1292
56716,-1292
56716,-1292
56716,-1292
56716,-1292
56716,-1292
56716,-1292
56716,-1292
56716,-1292
56733,75
56760,-1292
56760,-1292
56760,-1292
56760,-1292
56760,-1292
56760,-1292
56760,-1292
56760,-1292
56760,-1292
56760,-1292
56795,-1292
56795,-1292
56795,-1292
56795,-1292
56795,-1292
56795,-1292
56795,-1292
56795,-1292
56795,-1292
56795,-1292
56810,75
56860,-1292
56860,-1292
56860,-1292
56860,-1292
56860,-1292
56860,-1292
56860,-1292
56860,-1292
56860,-1292
56860,-1292
56881,75
56887,-1292
56887,-1292
56887,-1292
56887,-1292
56887,-1292
57018,75
57111,-1292
57111,-1292
57111,-1292
57111,-1292
57111,-1292
57111,-1292
57111,-1292
57116,75
57111,-1292
57111,-1292
57111,-1292
57185,75
57318,75
57995,-1292
57995,-1292
58041,-1292
58041,-1292
58041,-1292
58041,-1292
58041,-1292
58041,-1292
58041,-1292
58041,-1292
58041,-1292
58041,-1292
58071,-1292
58071,-1292
58071,-1292
58071,-1292
58071,-1292
58071,-1292
58071,-1292
58071,-1292
58104,75
58182,75
58667,-1292
58667,-1292
58667,-1292
58667,-1292
58667,-1292
58667,-1292
58667,-1292
58667,-1292
58667,-1292
58667,-1292
58717,-1292
58717,-1292
58717,-1292
58717,-1292
58717,-1292
58717,-1292
58717,-1292
58717,-1292
58717,-1292
58717,-1292
58763,75
58790,-1292
58790,-1292
58790,-1292
58790,-1292
58790,-1292
58790,-1292
58790,-1292
58790,-893
58790,-1285
58790,-1292
58834,-1292
58834,-1292
58834,-1292
58834,-1292
58834,-1292
58834,-1292
58834,-1292
58834,-1292
58834,-1292
58834,-1292
58841,75
58869,-1292
58869,-1292
58869,-1292
58869,-1292
58869,-1292
58869,-1292
58869,-1292
58869,-1292
58869,-1292
58869,-1292
58909,75
58909,-1292
58909,-1292
58909,-1292
58909,-1292
58909,-1292
58909,-1292
58909,-1292
58909,-1292
58909,-1292
58909,-1292
59051,75
59121,75
59208,75
60110,-1292
60110,-1292
60110,-1292
60110,-1292
60110,-1292
60110,-1292
60110,-1292
60110,-1292
60110,-1292
60110,-1292
60141,-1292
60141,-1292
60195,75
60465,-1292
60465,-1292
60465,-1292
60465,-1292
60465,-1292
60465,-1292
60465,-1292
60465,-1292
60465,-1292
60465,-1292
60515,-1292
60515,-1292
60543,75
62646,81
62772,-1292
62772,-1292
62772,-1292
62828,-1292
62828,-1292
62828,-1292
62828,-1292
62828,-1292
62828,-1292
62828,-1292
62828,-1292
62828,-1292
62828,-1292
62881,-1292
62881,-1292
62881,-1292
62881,-1292
62881,-1292
62881,-1292
62881,-1292
62881,-1292
62881,-1292
62881,-1292
62948,75
62948,-1292
62948,-1292
62948,-1292
62948,-1292
62948,-1292
62948,-1292
62948,-1292
62948,-1292
62948,-1292
62948,-1292
63049,-1292
63049,-1292
63049,-1292
63049,-1292
63049,-1292
63049,-1292
63049,-1292
63049,-1292
63049,-1292
63049,-1292
63059,75
63092,-1292
63092,-1292
63092,-1292
63092,-1292
63092,-1292
63092,-1292
63092,-1292
63092,-1292
63092,-1292
63092,-1292
63131,-1292
63131,-1292
63136,75
63131,-1292
63131,-1292
63131,-1292
63131,-1292
63131,-1292
63131,-1292
63131,-1292
63131,-1292
63208,-1292
63208,-1292
63208,-1292
63208,-1292
63208,-1292
63208,-1292
63208,-1292
63208,-1292
63208,-1292
63208,-1292
63250,-1292
63250,-1292
63250,-1292
63250,-1292
63250,-1292
63250,-1292
63250,-1292
63250,-1292
63250,-1292
63250,-1292
63284,75
63309,-1292
63309,-1292
63309,-1292
63309,-1292
63309,-1292
63309,-1292
63309,-1292
63309,-1292
63309,-1292
63309,-1292
63360,75
63362,-1292
63362,-1292
63362,-1292
63362,-1292
63362,-1292
63362,-1292
63362,-1292
63362,-1292
63362,-1292
63362,-1292
63403,-1292
63403,-1292
63403,-1292
63403,-1292
63403,-1292
63434,75
63571,75
63663,75
63733,75
63822,75
64223,-1292
64223,-1292
64223,-1292
64223,-1292
64223,-1292
64223,-1292
64223,-1292
64223,-1292
64223,-1011
64223,-1285
64293,-1292
64293,-1292
64293,-1292
64293,-1292
64293,-1292
64293,-1292
64293,-1292
64293,-1292
64293,-1292
64309,75
64293,-1292
64372,-1292
64372,-1292
64372,-1292
64372,-1292
64372,-1292
64372,-1292
64372,-1292
64372,-1292
64372,-1292
64372,-1292
64388,75
64410,-1292
64410,-1292
64410,-1292
64410,-1292
64410,-1292
64410,-1292
64410,-1292
64410,-1292
64410,-1292
64410,-1292
64459,75
64451,-1292
64451,-1292
64451,-1292
64451,-1292
64451,-1292
64451,-1292
64451,-1292
64451,-1292
64451,-1292
64451,-1292
64504,-1292
64504,-1292
64504,-1292
64504,-1292
64504,-1292
64504,-1292
64504,-1292
64504,-1292
64504,-1292
64504,-1292
64542,75
64684,75
64774,75
65552,-464
65990,75
6013607,1288
6013646,1292
6013661,504
6015388,-165
6015952,-1288
6016078,-1292
6016078,-1292
6016078,-1292
6016078,-1292
6016078,-1292
6016078,-1292
6016078,-1292
6016078,-1292
6016078,-1292
6016078,-1292
6016163,-1292
6016163,-1292
6016163,-1292
6016163,-1292
6016163,-1292
6016163,-1292
6016163,-1292
6016163,-1292
6016163,-1292
6016163,-1292
6016206,-1292
6016206,-1292
6016206,-1292
6016206,-1292
6016206,-1292
6016206,-1292
6016206,-1292
6016213,78
6016206,-1292
6016206,-1292
6016206,-1292
6016277,-1292
6016277,-1292
6016277,-1292
6016277,-1292
6016277,-1292
6016277,-1292
6016277,-1292
6016277,-1292
6016277,-1292
6016277,-1292
6016317,-1292
6016317,-1292
6016317,-1292
6016317,-1292
6016317,-1292
6016317,-1292
6016317,-1292
6016317,-1292
6016317,-1292
6016317,-1292
6016334,74
6016360,-1292
6016360,-1292
6016360,-1292
6016360,-1292
6016360,-1292
6016360,-1292
6016360,-1292
6016360,-1292
6016360,-1292
6016360,-1292
6016422,-1292
6016424,74
6016422,-1292
6016422,-1292
6016422,-1292
6016422,-1292
6016422,-1292
6016422,-1292
6016422,-1292
6016422,-1292
6016422,-1292
6016480,-1292
6016480,-1292
6016480,-1292
6016480,-1292
6016480,-1292
6016480,-1292
6016480,-1292
6016480,-1292
6016480,-1292
6016480,-1292
6016518,-1292
6016518,-1292
6016518,-1292
6016518,-1292
6016518,-1292
6016518,-1292
6016518,-1292
6016518,-1292
6016518,-1292
6016518,-1292
6016607,-1292
6016607,-1292
6016610,74
6016607,-1292
6016607,-1292
6016607,-1292
6016607,-1292
6016607,-1292
6016607,-1292
6016607,-1292
6016607,-1292
6016669,-1292
6016669,-1292
6016669,-1292
6016669,-1292
6016669,-1292
6016669,-1292
6016669,-1292
6016669,-1292
6016669,-1292
6016669,-1292
6016712,74
6016713,-1292
6016778,74
6016911,75
6016979,75
6017045,75
6017112,75
6017266,75
6017988,-1292
6018035,-1292
6018035,-1292
6018035,-1292
6018035,-1292
6018035,-1292
6018035,-1292
6018035,-1292
6018035,-1292
6018035,-1292
6018035,-1292
6018065,-1010
6018065,-1285
6018079,-1292
6018079,-1292
6018109,74
6018130,-1292
6018130,-1292
6018130,-1292
6018130,-1292
6018130,-1292
