session,480_201
rel_ts_us,len
0,66
1097,-66
1133,54
1423,1869
2502,-60
7594,-1514
7594,-1514
7594,-1514
7615,54
7719,-1319
7728,54
9092,118
9247,1534
10358,-60
10648,-298
10665,-83
10669,54
10702,-1514
10702,-1514
10702,-714
10710,54
10731,-1514
10731,-1514
10731,-1514
10731,-440
10738,54
10850,-1514
10850,-1514
10850,-1514
10858,54
10865,-1514
10865,-1514
10870,54
11776,-1514
11776,-1514
11776,-1514
11776,-1514
11794,54
11811,-1514
11811,-1514
11811,-1514
11811,-1514
11811,-1514
11818,54
11938,-1514
11947,54
11963,-1514
11963,-1514
11963,-1514
11963,-1514
11963,-1514
11963,-1514
11963,-1514
11973,54
12193,-1514
12202,54
12231,-1514
12231,-1514
12231,-1514
12231,-1514
12231,-1514
12231,-1514
12231,-1514
12231,-1514
12247,54
12391,-1514
12391,-1514
12401,54
12892,-1514
12892,-1514
12892,-1514
12892,-1514
12892,-1514
12907,54
12921,-1514
12921,-1514
12921,-1514
12921,-1514
12921,-1514
12921,-1514
12952,54
13038,-1514
13038,-1514
13038,-1514
13038,-1514
13049,54
13085,-1514
13085,-1514
13085,-1514
13085,-1514
13085,-1514
13085,-1514
13085,-1514
13085,-1514
13085,-1514
13085,-1514
13085,-1514
13085,-1514
13085,-1514
13085,-1514
13085,-1514
13085,-1514
13085,-1514
13085,-1514
13129,54
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14064,-1514
14122,54
14156,-1514
14161,54
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14217,-1514
14261,54
14448,-1514
14448,-1514
14471,54
14490,-1514
14490,-1514
14490,-1514
14490,-1514
14490,-1514
14490,-1514
14490,-1514
14490,-1514
14490,-1190
14519,54
74932,-81
74964,-1514
74964,-1514
74964,-916
74974,54
74984,-78
85494,54
176302,-82
176335,-1514
176335,-1514
176344,54
