session,480_251
rel_ts_us,len
0,66
694,-66
730,54
1014,1867
1672,-60
1938,-1494
1938,-1494
1938,-1494
1949,54
3454,-597
3468,54
4796,118
4920,1222
5481,-60
5545,-233
16028,54
48456,-60
157030,-475
158730,-1494
158745,54
158767,-1494
158767,-1494
158767,-1494
158767,-1494
158767,-1494
158767,-1494
158767,-1494
158767,-1494
158767,-1494
158767,-1494
158767,-620
158795,54
158804,-1494
158804,-1494
158811,54
158827,-1494
158827,-1494
158827,-1494
158827,-1494
158827,-1494
158827,-1494
158827,-1494
158827,-1494
158827,-1494
158827,-620
158862,54
159417,-1494
159417,-693
159427,54
160518,-1494
160518,-1494
160518,-1494
160533,54
160550,-1494
160550,-1494
160550,-1494
160550,-1494
160550,-1494
160550,-1494
160550,-1494
160550,-1494
160550,-620
160577,54
160599,-1494
160599,-1494
160599,-1494
160599,-1494
160599,-1494
160599,-1494
160599,-1494
160599,-1494
160599,-1494
160599,-1494
160599,-1494
160599,-620
160618,54
160704,-1494
160704,-1494
160704,-1494
160704,-1494
160704,-1494
160704,-1494
160704,-1494
160704,-1494
160704,-1494
160704,-1494
160704,-1494
160704,-1494
160704,-1494
160704,-166
160743,54
160776,-767
160784,54
162159,-1494
162159,-1494
162159,-1494
162159,-1494
162180,54
162197,-1494
162197,-1494
162197,-1494
162197,-1494
162197,-1494
162197,-1494
162197,-1494
162197,-620
162234,54
162248,-1494
162248,-1494
162248,-1494
162248,-1494
162248,-1494
162248,-1494
162248,-1040
162264,54
162271,-1494
162271,-882
162278,54
186606,-1494
186606,-1494
186606,-1494
186606,-1494
186606,-1494
186606,-1494
186606,-1494
186606,-720
186645,54
287615,-1494
287615,-1494
287615,-1494
287615,-1494
287615,-1494
287615,-1494
287615,-1494
287615,-1494
287615,-1494
287615,-1494
287615,-160
287660,54
388980,-1494
389017,-1494
389017,-1494
389017,-1494
389017,-1494
389017,-1494
389017,-1494
389017,-1494
389017,-1494
389017,-1494
389017,-1494
389017,-620
389046,54
389232,-1494
389232,-1494
389232,-1494
389232,-1196
389248,54
488234,-1494
488234,-1494
488234,-211
488269,54
589567,-1494
589567,-1494
589567,-1494
589567,-1494
589567,-1494
589567,-1494
589567,-1494
589567,-1494
589567,-1494
589567,-1494
589567,-160
589612,54
689773,-1494
689773,-1494
689773,-1494
689773,-1494
