session,480_51
rel_ts_us,len
0,66
1140,-66
1186,54
1500,2020
2625,-60
2947,-279
3203,118
3307,1183
4311,-60
4375,-233
15028,54
47004,-60
234362,-475
234432,-1494
234432,-1494
234432,-1494
234444,54
234471,-1494
234471,-1494
234471,-1494
234471,-387
234482,54
234605,-1494
234605,-1494
234605,-1494
234614,54
234638,-1494
234638,-1494
234638,-1494
234638,-1494
234638,-1494
234638,-1494
234638,-1494
234638,-1494
234638,-620
234659,54
234710,-1108
234770,-1494
234770,-1494
234770,-1494
234770,-1494
234770,-1494
234770,-1349
234785,54
235553,-1494
235553,-1494
235553,-1494
235553,-1494
235553,-1494
235553,-1494
235553,-393
235574,54
235607,-1494
235607,-1494
235607,-1494
235607,-1494
235607,-1494
235618,54
235629,-1494
235629,-1494
235629,-1494
235629,-1494
235639,54
235764,-1494
235764,-1494
235764,-1494
235764,-234
235775,54
236401,-1494
236401,-1494
236401,-1494
236401,-1494
236401,-1494
236401,-1494
236401,-1494
236401,-1494
236401,-1494
236401,-1494
236401,-1494
236401,-620
236443,54
236503,-1494
236503,-1494
236503,-1494
236503,-1494
236503,-1494
236503,-1494
236503,-1494
236503,-1494
236503,-1494
236503,-1494
236503,-1494
236503,-620
236520,54
236648,-1494
236653,54
236667,-1494
236667,-1494
236667,-1494
236667,-323
236673,54
236770,-1494
236770,-1494
236770,-1494
236770,-1494
236770,-1494
236770,-1494
236770,-1494
236770,-1494
236770,-1494
236770,-1494
236770,-1494
236770,-1494
236770,-1494
236770,-1494
236770,-1494
236770,-393
236820,54
236906,-1494
236906,-1494
236906,-1494
236906,-234
236935,54
237544,-1494
237562,-1494
237562,-1494
237562,-975
237571,54
237581,-1494
237581,-1494
237581,-1494
237581,-1494
237590,54
237643,-1494
237643,-1494
237643,-1494
237643,-1494
237643,-1494
237643,-1494
237643,-1494
237643,-1494
237643,-1494
237643,-1494
237643,-1494
237643,-1494
237643,-1494
237643,-1494
237643,-1494
237643,-1494
237643,-1494
237643,-1494
237683,54
237864,-1494
237864,-1494
237864,-1494
237864,-1494
237864,-1494
237864,-1494
237864,-1494
237864,-1494
237864,-1494
237864,-1494
237864,-1134
237902,54
308878,-1494
308878,-1494
308903,54
308927,-1494
308927,-1494
308927,-1494
308927,-1494
308927,-1494
308927,-1494
308927,-1494
308927,-1494
